,Headline,Date,Symbol,Company Name
123, stocks to watch  paytm  adani  tcs  spicejet  l t  nhpc ,"22 Aug 2022, 07:40 AM IST",tcs,tata consultancy services
124, infosys  tcs lead gainers as 8 of top 10 firms add   98 235 crore in market cap ,"07 Aug 2022, 03:10 PM IST",tcs,tata consultancy services
125, mcap of eight of top 10 firms jumps over   1 91 lakh crore  tcs top gainer ,"31 Jul 2022, 11:11 AM IST",tcs,tata consultancy services
126, tcs shares trade ex dividend today  what investors should know ,"14 Jul 2022, 11:02 AM IST",tcs,tata consultancy services
127, tcs  record date for interim dividend this week  details inside ,"13 Jul 2022, 03:19 PM IST",tcs,tata consultancy services
128, tcs shares  why motilal oswal sees potential upside despite q1 profit miss ,"10 Jul 2022, 02:44 PM IST",tcs,tata consultancy services
129, tcs q1 results  it major set to kick off earnings season  shares fall ,"08 Jul 2022, 02:05 PM IST",tcs,tata consultancy services
130, stocks to watch  tcs  m m  tata power  vedanta  dr reddy s  hindustan zinc ,"08 Jul 2022, 08:19 AM IST",tcs,tata consultancy services
131, stocks to watch  hdfc  tata steel long  kotak mahindra bank  indusind bank  tcs ,"05 Jul 2022, 07:50 AM IST",tcs,tata consultancy services
132, 9 of top 10 most valued firms add   2 51 lakh cr in m cap  tcs top gainer ,"26 Jun 2022, 02:58 PM IST",tcs,tata consultancy services
133, tcs  infosys shares trade near 52 week lows  good levels to buy  ,"20 Jun 2022, 01:53 PM IST",tcs,tata consultancy services
134, market crash  top 10 firms lose   3 91 lakh cr in m cap  tcs  ril biggest laggards ,"19 Jun 2022, 11:31 AM IST",tcs,tata consultancy services
135, stocks to watch  metropolis healthcare  adani enterprises  sbi cards  tcs ,"07 Jun 2022, 07:30 AM IST",tcs,tata consultancy services
136, india s it sector downgraded by jp morgan  tcs shares slump 5  ,"19 May 2022, 02:41 PM IST",tcs,tata consultancy services
137, tcs  3 indian largecap it stocks downgraded by jpmorgan ,"19 May 2022, 10:39 AM IST",tcs,tata consultancy services
138, tcs shares muted after q4 earnings  but why some brokerages remain positive  ,"15 Apr 2022, 11:15 AM IST",tcs,tata consultancy services
139, infosys vs tcs  which it stock is the top pick post q4 results  ,"14 Apr 2022, 11:49 AM IST",tcs,tata consultancy services
140, tcs shares rise post q4 results  what brokerages say on the it stock ,"12 Apr 2022, 09:26 AM IST",tcs,tata consultancy services
141, stocks to watch  tcs  telcos  zee entertainment  ruchi soya  adani green ,"12 Apr 2022, 08:00 AM IST",tcs,tata consultancy services
142, stocks to watch  tcs  tata motors  tata steel  axis bank  vodafone idea ,"11 Apr 2022, 07:55 AM IST",tcs,tata consultancy services
143, m cap of 4 of top 10 most valued firms dips over   1 lakh cr  tcs  infosys drag ,"10 Apr 2022, 03:40 PM IST",tcs,tata consultancy services
144, tcs  infosys results to us inflation data  top 5 triggers for market this week ,"10 Apr 2022, 09:04 AM IST",tcs,tata consultancy services
145, stocks to watch  zomato  tcs  vedanta  sbi cards ,"05 Apr 2022, 07:32 AM IST",tcs,tata consultancy services
146, stocks to watch  tcs  future retail  zomato  kotak mahindra bank  ruchi soya ,"24 Mar 2022, 07:38 AM IST",tcs,tata consultancy services
147, tcs share buyback offer closes today  what should retail investors do  ,"23 Mar 2022, 12:10 PM IST",tcs,tata consultancy services
148, stocks to watch  infosys  tcs  paytm  vodafone idea  adani ports ,"23 Mar 2022, 07:56 AM IST",tcs,tata consultancy services
149, stocks to watch  eveready  dish tv  tcs  indigo ,"09 Mar 2022, 08:21 AM IST",tcs,tata consultancy services
150, tcs  share buyback opens tomorrow  what investors need to know ,"08 Mar 2022, 02:08 PM IST",tcs,tata consultancy services
151, stocks to watch  ongc  hindalco  tcs  sun tv ,"08 Mar 2022, 08:00 AM IST",tcs,tata consultancy services
152, stocks to watch  reliance industries  future retail  tcs  vedanta  omcs ,"03 Mar 2022, 07:54 AM IST",tcs,tata consultancy services
153, stocks to watch  tcs  vodafone idea  vedanta  future retail  adani group ,"24 Feb 2022, 08:13 AM IST",tcs,tata consultancy services
154, tcs shares down 6  in 5 days  should you buy the it stock now  ,"22 Feb 2022, 12:27 PM IST",tcs,tata consultancy services
155, sensex cracks 1 000 points as russia ukraine crisis deepens  tcs  l t top losers ,"22 Feb 2022, 10:42 AM IST",tcs,tata consultancy services
156, stocks to watch  bharti airtel  vedanta  tcs  hdfc bank  l t finance holdings ,"22 Feb 2022, 08:09 AM IST",tcs,tata consultancy services
157, m cap of 5 of top 10 most valued firms adds   86 000 cr  tcs biggest gainer ,"20 Feb 2022, 10:55 AM IST",tcs,tata consultancy services
158, tcs share buyback record date next week  key things retail investors should know ,"16 Feb 2022, 09:17 AM IST",tcs,tata consultancy services
159, tcs share buyback  a good opportunity for retail investors  ,"14 Feb 2022, 12:58 PM IST",tcs,tata consultancy services
160, mcap of nine of top 10 cos erodes by over   1 lakh crore  tcs biggest drag ,"13 Feb 2022, 10:56 AM IST",tcs,tata consultancy services
161, stocks to watch  tcs  infosys  wipro  tata motors  kotak mahindra bank  yes bank ,"13 Jan 2022, 08:16 AM IST",tcs,tata consultancy services
162, stocks to watch  tcs  infosys  wipro  delta corp  dlf  federal bank ,"12 Jan 2022, 08:03 AM IST",tcs,tata consultancy services
163, tcs shares surge ahead of q3 results  buyback proposal ,"10 Jan 2022, 12:39 PM IST",tcs,tata consultancy services
164, stocks to watch  reliance  tcs  kotak mahindra  csb bank  indigo ,"10 Jan 2022, 08:09 AM IST",tcs,tata consultancy services
165, stocks to watch  hdfc bank  mahindra logistics  paras defence  tcs ,"28 Dec 2021, 08:01 AM IST",tcs,tata consultancy services
166, stocks to watch  hero motocorp  indian oil  indigo  tcs ,"24 Dec 2021, 08:05 AM IST",tcs,tata consultancy services
167, indian share markets trade lower  hdfc bank and tcs top losers ,"09 Dec 2021, 10:45 AM IST",tcs,tata consultancy services
168, mcap of 7 of 10 most valued firms jump over   1 29 lakh cr  tcs biggest gainer ,"05 Dec 2021, 10:25 AM IST",tcs,tata consultancy services
169, had you invested   1 lakh in tcs in 2011  this is how much you would have today ,"01 Dec 2021, 10:59 AM IST",tcs,tata consultancy services
170, emkay recommends these it stocks to buy  upgrades tcs  mphasis  ratings ,"30 Nov 2021, 11:23 AM IST",tcs,tata consultancy services
171, stocks to watch  bandhan bank  tcs  kotak ,"03 Nov 2021, 08:04 AM IST",tcs,tata consultancy services
172, infosys over tcs  what brokerages say post q2 results ,"14 Oct 2021, 10:21 AM IST",tcs,tata consultancy services
173, tcs slumps 7  after company misses q2 earnings estimates ,"11 Oct 2021, 10:44 AM IST",tcs,tata consultancy services
174, sensex  nifty open flat  tcs dips 6  post q2 results ,"11 Oct 2021, 10:22 AM IST",tcs,tata consultancy services
175, tcs investors lose   1 lakh cr in minutes as shares slump  should you buy  ,"11 Oct 2021, 09:48 AM IST",tcs,tata consultancy services
176, rbi monetary policy to steer markets  rate sensitive stocks  tcs  zee in focus ,"08 Oct 2021, 08:29 AM IST",tcs,tata consultancy services
177, stocks to watch  nazara technologies  tcs   srei ,"07 Oct 2021, 07:32 AM IST",tcs,tata consultancy services
178, mcap of eight of top 10 firms jumps over   1 90 lakh cr  tcs  ril top gainers ,"29 Aug 2021, 11:33 AM IST",tcs,tata consultancy services
179, infosys  wipro to tcs   why these it stocks are at record high  ,"25 Aug 2021, 02:55 PM IST",tcs,tata consultancy services
180, tcs shares hit record high  market cap zooms to   13 lakh crore ,"17 Aug 2021, 10:24 AM IST",tcs,tata consultancy services
181, mcap of 8 of top 10 valued firms zooms over   1 6 lakh cr  tcs biggest gainer ,"15 Aug 2021, 12:51 PM IST",tcs,tata consultancy services
182, m cap of nine most valued companies jump over   2 22 lakh cr  tcs tops chart ,"08 Aug 2021, 12:27 PM IST",tcs,tata consultancy services
183, it stocks advance for third day  tcs hits 9 month high ,"Feb 17, 2023, 06:00 AM IST",tcs,tata consultancy services
184, chart check  breakout from descending trendline could take tcs towards rs 4 000 level ,"Feb 13, 2023, 11:55 AM IST",tcs,tata consultancy services
