,name,Engine,Mileage,Length,Height,Seating_Capacity,price,year,km,FuelType,Transmission,Owner
1939,renault-kwid,999 ,23.01,3679 ,1478 ,5 ,571000.0,Jun 2022,7969 ,Petrol,Manual,First
1940,maruti-suzuki-swift,1197 ,18.6,3850 ,1530 ,5 ,339000.0,Jun 2010,62554 ,Petrol,Manual,First
1941,hyundai-i10,1197 ,20.63,3585 ,1550 ,5 ,250999.99999999997,Jun 2010,76653 ,Petrol,Manual,Second
1943,maruti-suzuki-wagon-r,998 ,15.0,3539 ,1700 ,5 ,307000.0,Jun 2013,56478 ,Petrol,Manual,Second
1944,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,548000.0,Jun 2015,71735 ,Petrol,Manual,Second
1945,renault-duster,1461 ,19.6,4315 ,1695 ,5 ,911000.0,Jun 2016,96060 ,Diesel,Automatic,First
1946,maruti-suzuki-celerio,998 ,31.79,3600 ,1560 ,5 ,404000.0,Jun 2015,83479 ,CNG,Manual,First
1947,renault-duster,1461 ,19.87,4315 ,1695 ,5 ,1006000.0,Jun 2017,60965 ,Diesel,Manual,First
1949,maruti-suzuki-swift,1197 ,20.4,3850 ,1530 ,5 ,487000.0,Jun 2016,32381 ,Petrol,Manual,First
1950,toyota-yaris,1496 ,17.1,4425 ,1495 ,5 ,811999.9999999999,Jun 2018,24697 ,Petrol,Manual,First
1951,toyota-etios,1496 ,17.57,4265 ,1510 ,5 ,238000.0,Jun 2011,73470 ,Petrol,Manual,First
1952,honda-city,1497 ,16.8,4440 ,1485 ,5 ,627000.0,Jun 2014,50524 ,Petrol,Manual,Second
1953,maruti-suzuki-alto,998 ,24.07,3545 ,1475 ,5 ,341000.0,Jun 2016,28482 ,Petrol,Manual,First
1954,maruti-suzuki-swift,1197 ,18.6,3850 ,1530 ,5 ,436000.00000000006,Jun 2013,75514 ,Petrol,Manual,Second
1955,hyundai-venue,998 ,18.2,3995 ,1605 ,5 ,1042000.0,Jun 2019,16400 ,Petrol,Manual,Second
1956,honda-brio,1198 ,19.4,3610 ,1500 ,5 ,412000.0,Jun 2016,17877 ,Petrol,Manual,Third
1957,maruti-suzuki-swift,1197 ,20.4,3850 ,1530 ,5 ,608000.0,Jun 2019,71735 ,Petrol,Manual,Second
